window-size,LR,KNN,RF,NC,NB,DT
0.25,0.829111691551681,0.882951031282369,0.86614151179488,0.438960980244598,0.548599890790083,0.819654871024253
0.5,0.856164039755243,0.888673580267716,0.879075266387751,0.516174625335833,0.62194627617025,0.833556214807786
0.75,0.865567130394989,0.89295578153909,0.88569421616884,0.555250737415252,0.673847022648784,0.844458046302136
1,0.871794846362007,0.889829103535255,0.890748271086549,0.576850481824998,0.715102084098716,0.847529902820735
1.25,0.871170143895651,0.888724094347995,0.885076031365556,0.586860775866124,0.737430135163379,0.844641862619338
1.5,0.867376437341932,0.884802256891335,0.883223056564593,0.587090098016236,0.730665446796318,0.839910089302205
1.75,0.864884945803532,0.883214543972509,0.883229780305275,0.584428364083796,0.724781058204765,0.84166665870586
2,0.864341435585659,0.88234724899256,0.88168263129818,0.580651665202867,0.720569461434837,0.829511269111999
2.25,0.860995240720876,0.877810490116476,0.875568564109843,0.578286806145979,0.719789588007706,0.830375997873793
2.5,0.852947289577667,0.877791363318504,0.873335061029424,0.576447663676971,0.705911082063449,0.825172694882538
2.75,0.854978660593054,0.876393276914054,0.870656221264979,0.572892438937482,0.6958704221049,0.827580056480986
3,0.848829778327756,0.870350018274766,0.871715550605712,0.571212956052859,0.688191246336887,0.821400367514452
3.25,0.844887024722771,0.86969025484755,0.867657333861006,0.569814558913314,0.701553068828027,0.798987848200765
3.5,0.844411610376316,0.870970692161053,0.864622164030777,0.566944246931223,0.691201158181767,0.815676184031923
3.75,0.842525781298812,0.864545073171834,0.859939857181243,0.564920382426414,0.689325382190167,0.81352940429264
4,0.841781543165822,0.86452203585957,0.859163175247828,0.563685931619055,0.681818559881445,0.816083026989737
4.25,0.838327955280085,0.863112397797485,0.854543368839436,0.561293053260606,0.670579116149714,0.807847900847705
4.5,0.836243245155708,0.855796448124357,0.852751480442054,0.554999027112864,0.662088569317687,0.796868632696202
4.75,0.836022301756556,0.860037043401108,0.85639208864189,0.555426219428928,0.675502952884356,0.805500658395989
5,0.831407612101328,0.850960544732378,0.850216450662673,0.551718685855468,0.659674625815831,0.802250132276531
5.25,0.829525211427676,0.846587312737482,0.844998009143828,0.551456419067213,0.65574186484847,0.788256250840434
5.5,0.824147389738643,0.849537478207703,0.849750620590915,0.547943922909197,0.651344241723648,0.800692503780432
5.75,0.825106888063542,0.851013731139543,0.848914090576228,0.546455153684103,0.650794407903541,0.799108297658641
6,0.819409550215559,0.843977470307127,0.832902407491826,0.545052086027746,0.647060872405764,0.790007946521226
6.25,0.818970662675092,0.84940736610093,0.834188095832267,0.542036542887154,0.641722506086657,0.793349084263889
6.5,0.817342644778686,0.837452564702984,0.832056340440774,0.542723968969057,0.641948809882174,0.791200498539087
6.75,0.815118224430834,0.833702801962601,0.828893382976246,0.543841747090597,0.639425851518494,0.780987317974859
7,0.808520926673131,0.835394040943236,0.829534984507889,0.535278318994382,0.627814540537313,0.777061639557848
